Theme,Feature Name,Description,Data Type,Status,Notes / Source System,unit,expected_min,expected_max,used_in_model
Production Attributes,show_title,"Marketing / ticketing title of the production (e.g., Nutcracker, Swan Lake, Alice in Wonderland).",categorical (string),available,From history_city_sales.csv [Show Title]; canonicalise against ticketing system.,,,,
Production Attributes,show_title_id,Internal unique ID for each production title (across seasons).,categorical (ID),to be collected,"Create title dimension, map to ticketing 'production' or 'event' IDs.",,,,
Production Attributes,production_season,"Artistic season label for the production (e.g., 2024–25).",categorical (string),to be collected,From season planning sheets / ticketing season codes.,,,,
Production Attributes,city,"City of performance (Calgary, Edmonton).",categorical,available,Implied by separate columns in history_city_sales.csv; normalise into a City dimension.,,,,
Production Attributes,venue_name,Name of venue where production is performed.,categorical,to be collected,"From ticketing performance setup (e.g., Southern Alberta Jubilee Auditorium).",,,,
Production Attributes,venue_capacity,Total sellable capacity for venue and configuration (per performance).,numeric (int),to be collected,From venue/production setup in ticketing; needed for % capacity features.,seats,500,5000,yes
Production Attributes,performance_count_city,Number of performances of this title in a given city/run.,numeric (int),to be collected,Aggregate from performance-level table in ticketing system.,count,1,20,yes
Production Attributes,performance_count_total,Total number of performances across both cities for the run.,numeric (int),to be collected,Sum performance_count_city across cities.,count,1,40,yes
Production Attributes,run_type,"Production type category (e.g., full-length classical, mixed bill, contemporary narrative, family).",categorical,in development,"Define taxonomy with Artistic & Marketing, tag all historical titles.",,,,
Production Attributes,musical_forces,"Live orchestra, recorded track, guest band, etc.",categorical,in development,From production notes; influences perceived value and pricing.,,,,
Production Attributes,score_familiarity_index,Index for how familiar the music is to a general Alberta audience.,numeric (0–1 or 1–5),in development,"Combine expert scoring with external consumption metrics (Spotify, YouTube).",index,0,1,yes
Production Attributes,story_familiarity_index,"Index of narrative familiarity (e.g., Nutcracker high, new creation lower).",numeric,in development,Expert ratings + Google Trends search interest.,index,0,1,yes
Production Attributes,production_branding_cluster,"Cluster label grouping titles with similar brand positioning (holiday, romantic classic, edgy contemporary, etc.).",categorical,in development,From prior clustering work and marketing segmentation.,,,,
Production Attributes,family_friendliness_flag,Whether production is marketed as suitable for children/families.,boolean,in development,"From marketing copy and series labelling (e.g., family series).",,,,
Production Attributes,run_length_days,Number of days between first and last performance in a city.,numeric (int),to be collected,Derived from performance schedule.,days,1,60,yes
Production Attributes,pricing_tier_structure,"Representation of price zones and spread (e.g., number of tiers, premium differential).",categorical / numeric vector,to be collected,From ticketing price tables.,,,,
Production Attributes,average_base_ticket_price,Average list price for standard adult single tickets (before fees/discounts).,numeric (float),to be collected,From ticketing price tables; summarise per city and title.,CAD,20,300,yes
Production Attributes,discounting_intensity_index,Share of tickets sold on promo/discount vs full price.,numeric (0–1),in development,Requires promo flag at ticket level; aggregate per title/city.,ratio,0,1,yes
Production Attributes,guest_star_flag,"Whether production features a named guest star (dancer, choreographer, band).",boolean,in development,From artistic contracts and marketing materials.,,,,
Production Attributes,world_premiere_flag,Whether this is a world premiere / new creation.,boolean,in development,From artistic archives.,,,,
Production Attributes,co_production_flag,Whether production is a co-production with another company.,boolean,in development,From contracts / artistic notes.,,,,
Historical Sales Trends,single_tickets_calgary,Total single tickets sold for a title in Calgary for a given run.,numeric (int),available,history_city_sales.csv [Single Tickets - Calgary].,tickets,0,50000,yes
Historical Sales Trends,single_tickets_edmonton,Total single tickets sold for a title in Edmonton for a given run.,numeric (int),available,history_city_sales.csv [Single Tickets - Edmonton].,tickets,0,50000,yes
Historical Sales Trends,total_single_tickets,Total single tickets sold across both cities.,numeric (int),available/derived,history_city_sales.csv [Total Single Tickets] or compute from city columns.,tickets,0,100000,target
Historical Sales Trends,total_tickets_all,Total tickets (singles + single tickets) across both cities.,numeric (int),derived,Key demand target candidate; combine single and single ticket totals.,tickets,0,150000,no
Historical Sales Trends,avg_tickets_per_performance,Average tickets sold per performance in a city.,numeric (float),in development,Requires performance_count_city; tickets / performance_count_city.,tickets,0,5000,yes
Historical Sales Trends,load_factor,Percentage of capacity sold (tickets / theoretical capacity).,numeric (0–1),in development,Needs capacity and performance counts; useful for normalisation.,ratio,0,1,yes
Historical Sales Trends,prior_season_title_sales,Lagged total tickets for the same title in prior seasons.,numeric (int),in development,Join by show_title_id and season; used for recurring titles like Nutcracker.,tickets,0,100000,yes
Historical Sales Trends,title_sales_trend,Trend in sales for recurring titles across multiple seasons.,numeric (float),in development,Compute slope via regression over historical seasons.,slope,-10000,10000,yes
Historical Sales Trends,first_run_vs_revival_flag,Flag for first presentation vs revival of a title.,boolean,in development,From artistic archives; interacts with prior sales features.,,,,
Historical Sales Trends,weeks_to_80pct_sold,Weeks before opening when 80% of capacity was sold.,numeric (float),to be collected,Requires dated transaction and on-sale data.,weeks,0,52,yes
Historical Sales Trends,pre_on_sale_demand_proxy,Tickets sold in first 48–72 hours after on-sale as % of run capacity.,numeric (float),to be collected,From transaction timestamps; a leading indicator of demand.,ratio,0,1,yes
Historical Sales Trends,late_sales_share,Share of tickets sold in final 7 days before opening.,numeric (0–1),to be collected,From transactions; useful for behavioural segmentation.,ratio,0,1,yes
Historical Sales Trends,channel_mix_distribution,"Distribution of sales by channel (web, phone, box office, group).",numeric vector,to be collected,From ticketing channel codes; summarise as percentages.,,,,
Historical Sales Trends,group_sales_share,Share of tickets sold via group bookings.,numeric (0–1),to be collected,From group booking flag in ticketing.,ratio,0,1,yes
Historical Sales Trends,comp_ticket_share,Share of complimentary tickets vs paid.,numeric (0–1),to be collected,From comp flag; important for interpreting raw ticket counts.,ratio,0,1,yes
Historical Sales Trends,refund_cancellation_rate,Percentage of tickets refunded or cancelled for the run.,numeric (float),to be collected,From refund transactions; may correlate with weather or health events.,ratio,0,1,yes
Marketing & Promotions,marketing_campaign_id,Unique ID for the main marketing campaign associated with the production.,categorical,to be collected,From CRM / email or marketing automation tools.,,,,
Marketing & Promotions,marketing_budget_city,Paid marketing spend allocated to the production per city.,numeric (float),to be collected,From marketing budget spreadsheets / finance.,CAD,0,500000,yes
Marketing & Promotions,digital_ad_spend,"Total paid digital ad spend (Meta, Google, programmatic) for the run.",numeric (float),to be collected,From ad platform exports or agency reports.,CAD,0,100000,yes
Marketing & Promotions,email_campaign_count,Number of distinct email campaigns sent promoting the production.,numeric (int),to be collected,From email marketing platform logs.,count,0,50,yes
Marketing & Promotions,email_impressions,Total email sends for campaigns linked to the production.,numeric (int),to be collected,From email platform stats.,count,0,1000000,yes
Marketing & Promotions,email_open_rate,Average open rate across relevant email campaigns.,numeric (0–1),to be collected,From email performance reports.,ratio,0,1,yes
Marketing & Promotions,email_click_rate,Average click-through rate across relevant email campaigns.,numeric (0–1),to be collected,From email performance reports.,ratio,0,1,yes
Marketing & Promotions,social_posts_count,Number of social posts tagged to the production.,numeric (int),to be collected,From social scheduling/analytics tools.,count,0,500,yes
Marketing & Promotions,social_engagement_rate,Engagement (likes/comments/shares) per impression across production posts.,numeric (float),to be collected,From social media analytics.,ratio,0,1,yes
Marketing & Promotions,video_views_production_trailer,Total views of trailers / promo videos.,numeric (int),to be collected,"From YouTube, Instagram, etc.",views,0,10000000,yes
Marketing & Promotions,out_of_home_flag,"Whether out-of-home media (billboards, transit ads) were used.",boolean,to be collected,From media plans / invoices.,,,,
Marketing & Promotions,media_partnership_flag,"Presence of media partners (radio/TV promotions, contests).",boolean,to be collected,From marketing partnership records.,,,,
Marketing & Promotions,pricing_promotion_flag,"Any price-based promotion (early-bird, dynamic discounts, rush tickets).",boolean,to be collected,From promo setup in ticketing and campaign briefs.,,,,
Marketing & Promotions,special_offer_volume,Number of tickets sold under promo codes / special offers.,numeric (int),to be collected,From ticketing promo code reports.,tickets,0,50000,yes
Marketing & Promotions,campaign_start_lead_time_days,Days between campaign launch date and first performance.,numeric (int),in development,Requires campaign start dates from marketing calendar.,days,0,365,yes
Marketing & Promotions,email_to_sale_conversion_rate,Percentage of email recipients who purchase after campaign exposure.,numeric (float),in development,Link CRM exposure to sales; may require matchback process.,ratio,0,1,yes
Marketing & Promotions,remarketing_flag,Use of retargeting/dynamic remarketing for the production.,boolean,to be collected,From digital agency / ads manager.,,,,
Timing & Schedule Factors,opening_date,Date of first performance in the run (city-level).,date,to be collected,From performance schedule in ticketing.,,,,
Timing & Schedule Factors,closing_date,Date of final performance in the run (city-level).,date,to be collected,From performance schedule in ticketing.,,,,
Timing & Schedule Factors,performance_day_of_week_distribution,Share of performances by day of week (Thu/Fri/Sat/Sun).,numeric vector,in development,Derived from performance_date for all performances in run.,,,,
Timing & Schedule Factors,holiday_period_flag,"Run overlaps with major holidays (Christmas, Easter, Thanksgiving, Family Day, etc.).",boolean,in development,Compare run window to Canadian/Alberta holiday calendar.,,,,
Timing & Schedule Factors,school_break_overlap_flag,Run overlaps with school breaks (winter/spring) for Calgary/Edmonton school boards.,boolean,in development,Requires school calendar data.,,,,
Timing & Schedule Factors,competing_major_event_flag,"Major events in city (Stampede, major concerts, playoff games) overlap run.",boolean,in development,From city events calendars and NHL schedule.,,,,
Timing & Schedule Factors,month_of_opening,Month of opening (1–12).,numeric (int),in development,Derived from opening_date.,month,1,12,yes
Timing & Schedule Factors,season_quarter,Fiscal or calendar quarter of the run.,categorical,in development,Derived from opening_date and internal fiscal calendar.,,,,
Timing & Schedule Factors,days_on_sale_before_opening,Days between on-sale date and opening night.,numeric (int),to be collected,Requires on-sale date from ticketing.,days,0,365,yes
Timing & Schedule Factors,on_sale_month,Month in which tickets first went on sale.,categorical,in development,Derived from on-sale date.,,,,
Timing & Schedule Factors,typical_performance_time,Share of performances categorised as evening vs matinee.,numeric (float),in development,From performance start times.,ratio,0,1,yes
Timing & Schedule Factors,weekday_vs_weekend_mix,Percent of performances on Fri–Sun vs Mon–Thu.,numeric (float),in development,Derived from schedule.,ratio,0,1,yes
Timing & Schedule Factors,overlapping_internal_events_flag,Other Alberta Ballet productions overlap in same city/run window.,boolean,in development,Compare run windows across all productions.,,,,
External Factors,alberta_unemployment_rate,Unemployment rate in Alberta during run period.,numeric (float),to be collected,From Statistics Canada Labour Force Survey; use monthly or quarterly value aligned to run.,percent,0,25,yes
External Factors,alberta_cpi_index,Consumer Price Index for Alberta (inflation proxy) at time of run.,numeric (float),to be collected,From StatsCan CPI for Alberta; align to month of opening.,index,50,300,yes
External Factors,alberta_real_gdp_growth_rate,Real GDP growth rate for Alberta in the season year.,numeric (float),to be collected,From Alberta Treasury Board and Finance or StatsCan.,percent,-20,20,yes
External Factors,wti_oil_price_avg,Average WTI oil price during the run or season.,numeric (float),to be collected,From Bank of Canada or EIA historical oil price series.,USD/barrel,0,200,yes
External Factors,weather_severity_index_city,"Index summarising extreme weather during run dates in each city (e.g., cold snaps, major snow).",numeric (float),in development,From Environment Canada daily weather data.,index,0,10,yes
External Factors,covid_restriction_level,Categorical index of COVID-19 restrictions in place during run.,categorical,in development,Derive from Alberta public health order timelines.,,,,
External Factors,exchange_rate_cad_usd,Average CAD–USD exchange rate during season.,numeric (float),to be collected,From Bank of Canada FX rates.,CAD/USD,0.5,2,yes
External Factors,population_city,Population of Calgary/Edmonton in given year.,numeric (int),to be collected,From StatsCan or municipal estimates.,population,100000,5000000,yes
External Factors,median_household_income_city,Median household income in Calgary/Edmonton.,numeric (float),to be collected,From StatsCan Census / income tables.,CAD,30000,200000,yes
Economic Context,consumer_confidence_prairies,Nanos consumer confidence index for Prairies region (Alberta proxy).,numeric (float),available,From Bloomberg Nanos Canadian Consumer Confidence Index via nanos_consumer_confidence.csv.,index,0,100,yes
Economic Context,energy_index,Bank of Canada commodity price energy index (A.ENER) - critical for Alberta economy.,numeric (float),available,From Bank of Canada commodity_price_index.csv (A.ENER column).,index,0,300,yes
Economic Context,inflation_adjustment_factor,CPI-based inflation adjustment factor relative to 2020 baseline.,numeric (float),available,Computed from Bank of Canada boc_cpi_monthly.csv using V41690973 (CPI All-items).,ratio,0.8,1.5,yes
Economic Context,city_median_household_income,City-level median household income from census data.,numeric (float),available,From Calgary/Edmonton 2021 census files in demographics/.,CAD,30000,200000,yes
Audience Analytics,aud__engagement_factor,Live Analytics engagement factor by show category (category-level audience engagement multiplier).,numeric (float),available,Computed from audiences/live_analytics.csv via get_category_engagement_factor(); based on historical audience engagement patterns by category.,ratio,0.5,2.0,yes
Donor Research,res__arts_share_giving,Percentage of total charitable giving directed to arts organizations (Nanos/Stone Olafson donor research).,numeric (float),available,From audiences/nanos_arts_donors.csv; annual giving breakdown metric showing arts sector share of donor dollars.,percent,8,16,yes
External Factors,tourism_visitation_index,"Proxy index for visitor volume (hotel occupancy, airport arrivals).",numeric (float),to be collected,From Travel Alberta or city tourism data.,index,0,1000,yes
External Factors,google_trends_title_interest,Normalised Google Trends index for production title/theme during campaign window.,numeric (float),in development,From Google Trends for terms like 'Nutcracker ballet Calgary'.,index,0,100,yes
External Factors,arts_sector_confidence_index,Indicator of arts sector health (attendance/financial trend proxy).,numeric (float),in development,Would require data from peer organisations or sector surveys.,index,0,100,yes
PredictHQ Events,phq_attendance_sum,"Sum of predicted attendance for events in the city during the run window (sports, concerts, community events).",numeric (int),to be collected,From PredictHQ Events API; aggregated within run date range and city radius.,attendees,0,10000000,yes
PredictHQ Events,phq_attendance_sports,"Predicted attendance for sporting events during run window (NHL, CFL, etc.).",numeric (int),to be collected,From PredictHQ Events API filtered to sports category.,attendees,0,5000000,yes
PredictHQ Events,phq_attendance_concerts,Predicted attendance for concerts and performing-arts events during run window.,numeric (int),to be collected,From PredictHQ Events API filtered to concerts/performing-arts categories.,attendees,0,5000000,yes
PredictHQ Events,phq_event_count,Count of significant events (rank >= 30) during run window in city.,numeric (int),to be collected,From PredictHQ Events API; count of events above rank threshold.,count,0,1000,yes
PredictHQ Events,phq_event_spend,Estimated local consumer spend generated by events during run window.,numeric (float),to be collected,From PredictHQ Spend API; sum of event-driven spend in USD.,USD,0,100000000,yes
PredictHQ Events,phq_rank_max,Maximum PredictHQ rank of events overlapping the run window.,numeric (int),to be collected,From PredictHQ Events API; highest-impact event rank (0–100).,rank,0,100,yes
PredictHQ Events,phq_rank_avg,Average PredictHQ rank of significant events during run window.,numeric (float),to be collected,From PredictHQ Events API; mean rank of filtered events.,rank,0,100,yes
PredictHQ Events,phq_holidays_flag,Flag indicating major holidays overlap run window (PHQ holiday categories).,boolean,to be collected,From PredictHQ Events API holiday categories (public-holidays/school-holidays).,,,,
PredictHQ Events,phq_severe_weather_flag,Flag indicating severe weather advisories during run window.,boolean,to be collected,From PredictHQ Severe Weather API for the city.,,,,
PredictHQ Events,phq_demand_impact_score,Composite demand impact score for the run window (combines attendance and spend).,numeric (float),in development,Derived from PredictHQ features; custom weighted composite of attendance and spend.,index,0,100,yes
