Article_ID,Concept,Evidence,Frequency,Impact_Score,Sentiment,Category,Coding_Confidence
Inclusion_Newcomers_Sport,Newcomers_Interested_But_Underserved,"Report notes many newcomers are keenly interested in sport and physical activity but are not participating due to multiple barriers, despite a general desire to be active.",4,5,Neutral,Participation_Demand,0.97
Inclusion_Newcomers_Sport,Structural_Not_Cultural_Barriers,ICC (2014) concludes that the barriers cited by new citizens are mainly structural challenges rather than cultural issues.,3,5,Neutral,Barrier_Diagnosis,0.98
Inclusion_Newcomers_Sport,Twelve_Key_Barriers_Listed,"Overview of the Barriers page lists 12 barriers: financial, transportation, time commitment, organizational policies, unfamiliarity with sport, lack of information, language, competing interests, political/cultural, integration, perceptions of sports, racism.",5,5,Negative,Barrier_Taxonomy,0.99
Inclusion_Newcomers_Sport,Financial_Cost_As_Primary_Barrier,"Sports can present financial barriers when fees, equipment, and facility costs are high, especially for families focused on housing, work, and school in early settlement years.",4,5,Negative,Barrier_Financial,0.98
Inclusion_Newcomers_Sport,Financial_Subsidies_And_Equipment_Programs,"Solutions include subsidies, slush funds, free programs, varied price points, instalment payments, and equipment banks; promising practices list KidSport, Jumpstart, Comrie’s Sports Equipment Bank, municipal subsidy schemes.",4,5,Positive,Financial_Solutions,0.97
Inclusion_Newcomers_Sport,Transportation_Barrier,"Families may lack cars, face inconvenient schedules, or find public transit costs/time prohibitive; some are uncomfortable asking for carpooling support.",3,4,Negative,Barrier_Transportation,0.96
Inclusion_Newcomers_Sport,Transportation_Solutions_And_Promising_Practices,"Solutions include carpool systems, bus rentals, transit tokens, funding for transit; examples include free transit passes for refugees, free child fares, grants that include bus tickets, and bike programs for newcomer youth.",3,5,Positive,Transport_Solutions,0.97
Inclusion_Newcomers_Sport,Time_Commitment_As_Barrier,Sports may demand too much time for working families adapting to life in a new country; lack of time is cited as a major barrier for both new and established Canadians.,2,4,Negative,Barrier_Time,0.95
Inclusion_Newcomers_Sport,Flexible_And_DropIn_Programming,"Solutions highlight drop-in programs at varied times, school-based offerings, and clear communication of true time commitments including hidden volunteer expectations.",2,4,Positive,Time_Solutions,0.94
Inclusion_Newcomers_Sport,Organizational_Complexity_And_Policies_As_Barriers,"Newcomers may not know how sports are organized in Canada; information may be incomplete, hard to access, or full of unfamiliar terminology, and online-only systems or credit-card-only payment can be barriers.",3,4,Negative,Barrier_Organizational,0.96
Inclusion_Newcomers_Sport,Central_Hubs_And_MultiSport_TryIts,"Solutions include governing bodies acting as hubs, plain-language materials, multi-sport or multi-movement events, and partnerships with municipalities and schools to simplify access.",3,4,Positive,System_Simplification,0.95
Inclusion_Newcomers_Sport,Unfamiliarity_With_Canadian_Sports,Many newcomers are unfamiliar with Canadian sports and need basic introductions to rules and skills before they can feel confident and want to continue.,3,4,Negative,Barrier_Knowledge,0.96
Inclusion_Newcomers_Sport,Clinics_Orientation_And_LearnTo_Programs,"The guide recommends free clinics, drop-ins, learn-to programs, open houses, and mentoring to build basic skills and confidence; multiple promising practices illustrate these approaches.",3,5,Positive,Onboarding_Solutions,0.97
Inclusion_Newcomers_Sport,Lack_Of_Information_About_Programs,"There is a general lack of information on how to get involved and what assistance programs exist, especially for newcomers.",2,4,Negative,Barrier_Information,0.95
Inclusion_Newcomers_Sport,Proactive_Outreach_Through_Settlement_And_Community,"Solutions emphasize partnerships with settlement agencies, schools, libraries, religious centres, and use of plain-language orientation packages and central phone/311 systems.",3,5,Positive,Information_Solutions,0.97
Inclusion_Newcomers_Sport,Language_And_Communication_Barriers,"Language barriers make it hard to register, find information, complete paperwork, and communicate with leaders during programs.",3,4,Negative,Barrier_Language,0.96
Inclusion_Newcomers_Sport,Multilingual_Materials_And_Community_Champions,"The guide advocates translated materials, interpreters at practices, varied communication channels, and using multilingual coaches or community champions to support participation.",3,5,Positive,Language_Solutions,0.97
Inclusion_Newcomers_Sport,Competing_Interests_With_Settlement_Priorities,"Newcomers may prioritize education, work, and language/cultural learning over sport, so they may not formally engage even if programs exist.",2,4,Negative,Barrier_Priorities,0.94
Inclusion_Newcomers_Sport,Education_On_Benefits_Of_Sport,"Solutions recommend educating families on sport’s benefits for health, belonging, community connectedness, and academic performance, and using after-school programs and school boards to build physical literacy.",3,4,Positive,Benefits_Education,0.96
Inclusion_Newcomers_Sport,Political_And_Cultural_Tensions_Carry_Over,Political and cultural clashes from countries of origin may follow newcomers and shape who they are willing to play with and against.,2,4,Negative,Barrier_Cultural,0.95
Inclusion_Newcomers_Sport,Cultural_Humility_And_Gender_Sensitive_Programming,"The report recommends cultural humility training, attention to religious festivals, understanding intra-community politics, and, where needed, gender-separated programs with same-gender leaders.",3,5,Positive,Cultural_Solutions,0.97
Inclusion_Newcomers_Sport,Preference_For_EthnicOriented_Leagues,Newcomers may choose teams of people from their own country of origin rather than mainstream leagues because of comfort and familiarity.,2,3,Neutral,Barrier_Integration,0.94
Inclusion_Newcomers_Sport,Gateway_Programs_And_Partnership_Networks,"Integration solutions include gateway associations, programs like Football Hockey Link, and community partnership networks that bridge newcomers into mainstream sport systems.",3,4,Positive,Integration_Solutions,0.96
Inclusion_Newcomers_Sport,Perceptions_Of_Aggression_And_Cost_In_Certain_Sports,"Some sports (e.g., hockey) are perceived as too aggressive, violent, or expensive based on community narratives and misinformation.",2,4,Negative,Barrier_Perception,0.95
Inclusion_Newcomers_Sport,Clarifying_Safety_And_Offering_Adapted_Formats,"The guide suggests education on safety rules, showcasing safe play, and offering adapted versions such as flag football or wheelchair basketball to address fears and broaden access.",2,4,Positive,Sport_Perception_Solutions,0.95
Inclusion_Newcomers_Sport,Racism_As_Experienced_Barrier,"Newcomers may experience racism in sport and feel unwelcome, especially in programs with few other newcomers; aquatic sports are cited as having very few racially diverse champions.",2,5,Negative,Barrier_Racism,0.97
Inclusion_Newcomers_Sport,AntiRacism_Policies_And_Diverse_Representation,"Solutions include zero-tolerance racism policies, Respect in Sport training, proactive recruitment of diverse talent, and showcasing diversity in events, marketing, and testimonials.",3,5,Positive,AntiRacism_Solutions,0.98
Inclusion_Newcomers_Sport,Physical_Literacy_As_Foundation,"Physical literacy is defined as motivation, confidence, competence, knowledge, and understanding to engage in physical activity for life; it is presented as the foundation for Active for Life and Excellence.",3,5,Positive,Physical_Literacy,0.98
Inclusion_Newcomers_Sport,SportForLife_Framework_With_Awareness_And_FirstInvolvement,"The Sport for Life Framework includes added considerations of Awareness and First Involvement specifically to help those not engaged early in life, including newcomers, have positive initial experiences.",3,5,Positive,Development_Framework,0.97
Inclusion_Newcomers_Sport,Quality_Sport_Elements,"Quality sport is described as developmentally appropriate, participant-centered, progressive and challenging, planned, inclusive, fun, fair, holistic, and safe; a checklist is provided to operationalize this.",3,5,Positive,Program_Quality,0.98
Inclusion_Newcomers_Sport,Role_Of_Initiatives_TrueSport_And_HighFive,"True Sport and HIGH FIVE® are highlighted as national initiatives supporting inclusive, values-based, child-centred quality sport and welcoming of diversity.",2,4,Positive,Quality_Initiatives,0.95
Inclusion_Newcomers_Sport,Action_Plan_For_Inclusion,"The guide proposes a structured action plan: create a vision, scan people/places/programs, plan-activate-evaluate, set targets, engage funders, and create advisory committees with newcomer representation.",3,5,Positive,Implementation_Framework,0.97
Inclusion_Newcomers_Sport,CrossSector_Partnerships_As_Lever,"Repeated emphasis is placed on partnerships between sport organizations, municipalities, schools, settlement agencies, and community groups to share resources and improve inclusion.",3,5,Positive,CrossSector_Collaboration,0.97
Inclusion_Newcomers_Sport,Need_For_Ongoing_Evaluation_And_Research,"The action framework explicitly includes evaluation and research to measure impact over 12 months, 2 years, 5 years and to refine programs.",2,4,Positive,Evaluation_Research,0.94
Inclusion_Newcomers_Sport,Quantification_Limitations,"While barriers and solutions are richly described and many examples are listed, the guide is largely qualitative and does not systematically quantify outcomes across programs, limiting precise comparative measurement.",1,4,Neutral,Data_Limitation,0.93
