Step_Number,Step_Name,Guideline,Output
1,Define the pool,Keep the value chain broad,Defined list of value-chain activities
1,Define the pool,Use a rough cut if needed,Preliminary pool boundaries
1,Define the pool,Encourage debate,Better shared understanding
1,Define the pool,Don't get hung up on definitions,Workable starting point
2,Determine the size of the pool,Get a ballpark estimate,Initial estimate of pool size
2,Determine the size of the pool,Focus on major drivers,Adjusted estimate
2,Determine the size of the pool,Use all available data,Approximate total profits
2,Determine the size of the pool,Beware defn. mismatch,Industry definition doesn't equal pool definition
3,Determine distribution of profits,Start with pure players,Activity profitability benchmarks
3,Determine distribution of profits,Disaggregate mixed players,Activity-level profit views
3,Determine distribution of profits,Use pattern recognition,Clear activity comparisons
3,Determine distribution of profits,Avoid false precision,Realistic profitability ranges only
4,Reconcile estimates,Sum and compare totals,Finalized profit-pool map
4,Reconcile estimates,Revisit assumptions,Adjusted numbers
4,Reconcile estimates,Expect rework,Improved accuracy
4,Reconcile estimates,Think creatively,Reliable final estimate